acc_no,origin,COUNTRY.of.origin
1190674,IRQ,Iraq
1190675,TUN,Tunisia
1190676,TUN,Tunisia
1190677,ESP,Spain
1190678,IRN,Iran
1190679,IRN,Iran
1190680,ITA,Italy
1190681,IRN,Iran
1190682,CRT,Crete
1190683,ESP,Spain
1190684,IRN,Iran
1190685,ESP,Spain
1190686,MAR,Morocco
1190687,TUN,Tunisia
1190688,ESP,Spain
1190689,ESP,Spain
1190690,GRC,Greece
1190691,GRC,Greece
1190692,IND,India
1190693,IRQ,Iraq
1190694,IND,India
1190695,CHN,China
1190696,IND,India
1190697,IND,India
1190698,CHN,China
1190699,CHN,China
1190700,CHN,China
1190701,IRN,Iran
1190702,IRN,Iran
1190703,CHN,China
1190704,IRN,Iran
1190705,IRN,Iran
1190706,IND,India
1190707,IND,India
1190708,IND,India
1190709,IND,India
1190710,IND,India
1190711,IND,India
1190712,IND,India
1190713,IND,India
1190714,IND,India
1190715,IND,India
1190716,IND,India
1190717,CHN,China
1190718,CHN,China
1190719,CHN,China
1190720,CHN,China
1190721,CHN,China
1190722,CHN,China
1190723,AFG,Afghanistan
1190724,IND,India
1190725,CHN,China
1190726,CHN,China
1190727,CHN,China
1190728,IRQ,Iraq
1190729,IRN,Iran
1190730,IND,India
1190731,IND,India
1190732,IND,India
1190733,IRN,Iran
1190734,SUN,USSR
1190735,DZA,Algeria
1190736,SUN,USSR
1190737,ITA,Italy
1190738,SUN,USSR
1190739,IND,India
1190740,SUN,USSR
1190741,AFG,Afghanistan
1190742,DZA,Algeria
1190743,SUN,USSR
1190744,IND,India
1190745,SUN,USSR
1190746,SUN,USSR
1190747,ETH,Ethiopia
1190748,SUN,USSR
1190749,SUN,USSR
1190750,SUN,USSR
1190751,SUN,USSR
1190752,SUN,USSR
1190753,SUN,USSR
1190754,SUN,USSR
1190755,SUN,USSR
1190756,ITA,Italy
1190757,ITA,Italy
1190758,ITA,Italy
1190759,SUN,USSR
1190760,SUN,USSR
1190761,SUN,USSR
1190762,DZA,Algeria
1190763,IND,India
1190764,IND,India
1190765,SUN,USSR
1190766,DZA,Algeria
1190767,SUN,USSR
1190768,IND,India
1190769,DZA,Algeria
1190770,SUN,USSR
1190771,SUN,USSR
1190772,SUN,USSR
1190773,SUN,USSR
1190774,ETH,Ethiopia
1190775,SUN,USSR
1190776,SUN,USSR
1190777,FIN,Finland
1190778,ITA,Italy
1190779,SUN,USSR
1190780,SUN,USSR
1190781,SUN,USSR
1190782,SUN,USSR
