"PC","Variance_explained","Cumulative_variance"
484,0.0401502195837592,93.3422216228791
485,0.0399038982382019,93.3821255211173
486,0.0398575346681237,93.4219830557855
487,0.0396520646776266,93.4616351204631
488,0.0396102350432969,93.5012453555064
489,0.0395058771926308,93.540751232699
490,0.039351975643324,93.5801032083423
491,0.0391119262338394,93.6192151345762
492,0.0390254855373892,93.6582406201136
493,0.0389650304080675,93.6972056505216
494,0.0388550457445858,93.7360606962662
495,0.0386147520940524,93.7746754483603
496,0.0385245728075396,93.8132000211678
497,0.0384565099191289,93.851656531087
498,0.0383156741520292,93.889972205239
499,0.038116753852309,93.9280889590913
500,0.0380456546960908,93.9661346137874
501,0.0378638550622317,94.0039984688496
502,0.0377940191457255,94.0417924879953
503,0.0375434878069037,94.0793359758022
504,0.0374268524169981,94.1167628282192
505,0.0373209168309558,94.1540837450502
506,0.0372793559588772,94.191363101009
507,0.0371381502566514,94.2285012512657
508,0.0370616719215396,94.2655629231872
509,0.0369132534237961,94.302476176611
510,0.036754986982387,94.3392311635934
511,0.0366288896021141,94.3758600531955
512,0.0363967688445995,94.4122568220401
513,0.0363839990399177,94.44864082108
514,0.0362573488725379,94.4848981699526
515,0.036001841266162,94.5209000112187
516,0.0359479525415813,94.5568479637603
517,0.0358051409739261,94.5926531047342
518,0.0355921254649384,94.6282452301992
519,0.0355607536884537,94.6638059838876
520,0.0353980235241085,94.6992040074117
521,0.0353173474732677,94.734521354885
522,0.0352120818098373,94.7697334366948
523,0.0350402001062368,94.8047736368011
524,0.034878328058846,94.8396519648599
525,0.0347200870241586,94.8743720518841
526,0.0346765345422046,94.9090485864263
527,0.034374118317625,94.9434227047439
528,0.0343489041885661,94.9777716089325
529,0.0341955767111271,95.0119671856436
530,0.0340048200071495,95.0459720056508
531,0.0339848125832233,95.079956818234
532,0.0338443225288874,95.1138011407629
533,0.0338128804333187,95.1476140211962
534,0.033673584449793,95.181287605646
535,0.0334992575997011,95.2147868632457
536,0.0333884635653003,95.248175326811
537,0.0332639704213345,95.2814392972323
538,0.0331390520721256,95.3145783493044
539,0.033030677867128,95.3476090271716
540,0.0329059791057397,95.3805150062773
541,0.0328507707705536,95.4133657770479
542,0.0327722602155713,95.4461380372634
543,0.0326406159489917,95.4787786532124
544,0.0326272778109311,95.5114059310233
545,0.0324826424533091,95.5438885734767
546,0.0323530844631574,95.5762416579398
547,0.0322552060172129,95.608496863957
548,0.0321350723414615,95.6406319362985
549,0.0320402933654761,95.672672229664
550,0.0317450794447504,95.7044173091087
551,0.0316676563273095,95.736084965436
552,0.0315301035829795,95.767615069019
553,0.0312697698829533,95.7988848389019
554,0.0311988178276185,95.8300836567296
555,0.0311738912364054,95.861257547966
556,0.0309969185407075,95.8922544665067
557,0.0309491531095299,95.9232036196162
558,0.0308134698882583,95.9540170895045
559,0.030737551147173,95.9847546406516
560,0.0306704724195688,96.0154251130712
561,0.0306233525850279,96.0460484656562
562,0.0304326377904918,96.0764811034467
563,0.0302667380709419,96.1067478415177
564,0.0302406407394743,96.1369884822571
565,0.0300826189244532,96.1670711011816
566,0.029948320052967,96.1970194212346
567,0.0298698614430502,96.2268892826776
568,0.0297127255087436,96.2566020081863
569,0.0295961449755621,96.2861981531619
570,0.0294749903443187,96.3156731435062
571,0.0294066819584973,96.3450798254647
572,0.0292454329509513,96.3743252584157
573,0.0291412098913678,96.403466468307
574,0.0291054928786098,96.4325719611856
575,0.0290282394039898,96.4616002005896
576,0.0288684000593741,96.490468600649
577,0.02881102892205,96.5192796295711
578,0.0286876579626809,96.5479672875337
579,0.0285853983795476,96.5765526859133
580,0.0285056215607036,96.605058307474
581,0.0283859223010182,96.633444229775
582,0.0283321471690897,96.6617763769441
583,0.0282070274890684,96.6899834044332
584,0.0280849392180367,96.7180683436512
585,0.0280089862046857,96.7460773298559
586,0.027950303658731,96.7740276335146
587,0.0277829891227193,96.8018106226373
588,0.0277109022154304,96.8295215248528
589,0.0274743713547152,96.8569958962075
590,0.02746202530789,96.8844579215153
591,0.0274268745306578,96.911884796046
592,0.0271954093072686,96.9390802053533
593,0.0270983465091365,96.9661785518624
594,0.0269815637277232,96.9931601155901
595,0.0269188311408524,97.020078946731
596,0.0268408173990506,97.04691976413
597,0.0266458733130228,97.073565637443
598,0.0265114539326262,97.1000770913757
599,0.0264178912938451,97.1264949826695
600,0.0263419606830957,97.1528369433526
601,0.0261507685809277,97.1789877119336
602,0.0260160051994523,97.205003717133
603,0.0259515660413326,97.2309552831743
604,0.0258918783068667,97.2568471614812
605,0.0258033135202141,97.2826504750014
606,0.0256795091751905,97.3083299841766
607,0.0256341452456185,97.3339641294222
608,0.0255774822139352,97.3595416116362
609,0.0254550853523288,97.3849966969885
610,0.0254219842837603,97.4104186812723
611,0.0253760752381275,97.4357947565104
612,0.0251946156490176,97.4609893721594
613,0.0249897515335272,97.4859791236929
614,0.0248827764598397,97.5108619001528
615,0.0247824798050179,97.5356443799578
616,0.0246646331774528,97.5603090131352
617,0.0245795881730715,97.5848886013083
618,0.0244750773420861,97.6093636786504
619,0.0244594413321229,97.6338231199825
620,0.024267444991576,97.6580905649741
621,0.0241552666895107,97.6822458316636
622,0.0239692297576125,97.7062150614212
