"taxa","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","COUNTRY.of.origin","Region"
"1190055",-11.6451003422896,-16.1774955122552,-21.5852753167487,11.3518093400235,5.91594396625938,17.2371617698259,-29.9746532678256,12.7563622879307,7.5337611450238,-7.74045593435168,"Spain","Western/Southern Europe"
"1190056",5.60421586082133,-7.85381382207768,-16.4287905315562,12.3973314698285,14.0621777169258,21.526744207307,-24.6411659585611,-13.7502819221085,-19.9918165054556,6.53408914301177,"Spain","Western/Southern Europe"
"1190057",-20.8862098080008,5.9461918395081,17.7863692931314,14.8648078172112,-0.399647152531648,2.98509483535906,21.8063328215704,-5.26253113357911,-1.25928824515356,-2.58984622738674,"Portugal","Western/Southern Europe"
"1190058",-8.01833924799587,15.9070304427757,-13.6281917046619,26.5392253182502,2.28201513411318,40.546837486512,-54.5348880907025,13.9988696032316,-9.44277801491899,-0.0676841560565604,"Portugal","Western/Southern Europe"
"1190059",-4.70416526976076,15.5204603114282,-13.2929446808643,29.8118806595391,3.38144646642857,42.4147165973645,-64.9804435223178,18.5123023329954,-8.30203955660323,0.808652628782924,"Portugal","Western/Southern Europe"
"1190060",-28.5431398857697,13.8430981396967,6.82092730041152,7.78755844928056,-15.8711618401424,-21.6366707527245,-13.8593369911485,7.86081907138018,3.20253295578251,0.00931013623349622,"Portugal","Western/Southern Europe"
"1190061",-37.0009606693733,5.79959099222653,15.2215629781903,5.5104020231379,-24.9796412168545,-32.836938755297,-18.2300603363383,2.33974337445687,-7.43067898299904,-2.5017834090177,"Spain","Western/Southern Europe"
"1190062",-18.503386888323,-5.42460761439767,5.576252163736,6.83136955738314,4.16869028253005,1.44815663647124,8.1121122660272,-12.8163492319374,-10.1540884006422,14.5615882023339,"Spain","Western/Southern Europe"
"1190063",-8.51052075589588,-43.0575868330873,-10.2922815602626,14.9203010091378,6.04354878347566,1.39909104030268,-2.07619528456135,-21.2393107264826,-21.1130086468402,11.8710287957415,"Spain","Western/Southern Europe"
"1190064",-36.7140314254984,5.45332592014715,15.7155826872308,5.6660798763814,-26.1931472423688,-32.8057089092994,-18.1737113615082,-0.0889229753112292,-5.30135389311879,-1.02410757338961,"Spain","Western/Southern Europe"
"1190065",-19.6040933262214,-0.46272232477043,19.1437679142086,-8.12476630188337,-0.63203127867625,0.550347677771878,0.0643301138261608,8.46824899470496,-11.6381501145271,13.4241583261177,"Spain","Western/Southern Europe"
"1190066",-9.70814111993873,4.87784072859651,-10.5521952926121,-7.571907672132,-14.6295054276935,-14.5495001952833,5.52478350432018,6.63422856842668,1.40689457598561,7.69512043279213,"Spain","Western/Southern Europe"
"1190067",-21.5958811397098,4.72120113527984,16.573653710906,-17.7394049734583,-8.53905952285862,-6.04183190280886,0.22675662935094,15.6386399918326,-10.0299021489551,15.4877502259639,"Spain","Western/Southern Europe"
"1190068",-6.38972043554559,-38.6017240528924,-11.3825802613176,-8.46547256232954,3.59747104330472,-2.74355505463586,3.6549388387511,2.93955174102049,13.1525703973477,-3.37725423178033,"","Other/Unknown"
"1190069",-31.684644511555,7.32018909595197,10.5109243600689,-6.80681935935572,-15.7806950032851,-28.349924171845,-11.9624073600049,9.25287909456917,-1.9719724756286,-10.0904849712482,"Spain","Western/Southern Europe"
"1190070",-36.8155838657043,6.0437120373692,15.348463568245,5.4538026736475,-25.0143005876256,-32.8250215493704,-18.2390524761335,2.17947330980246,-7.34113010671541,-2.4443743968674,"Spain","Western/Southern Europe"
"1190071",-7.90243155225067,-53.0356849832403,-11.400923722272,-5.93687473333055,9.24710067323609,-0.583355614361518,-2.11345562722297,2.88729048822957,7.15644068392503,5.27513375159101,"Bulgaria","Eastern Europe"
"1190072",-13.8847916659283,-48.0508651947236,-12.254595995496,-4.60449447291253,8.92737979108328,-4.34695292924682,-3.58856541493976,2.08470025814472,13.5734429030984,-4.33902977511469,"Yugoslavia","Eastern Europe"
"1190073",-12.9675416970484,-44.4309907020136,-9.442341420941,-4.12483392052978,13.0068355348418,-4.33381859949702,-2.45239718327132,6.20140115122689,16.8681029266123,-3.5763572142667,"Bulgaria","Eastern Europe"
"1190074",-35.5998168869555,-0.81296189643562,27.6469863808529,24.9776596015119,-43.0809196621249,-10.1430377703054,-22.9537495163056,-30.7734414826766,30.2082796074171,21.6992632194787,"Yugoslavia","Eastern Europe"
